family,requested_width,format_candidates,observed_payload_widths,cpu_status,cpu_notes,metal_status,metal_notes,gpu_status,gpu_notes,neural_status,neural_notes,next_action
tf,16,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Keep unmodeled unless a non-TF32 Apple tensor-float surface appears.
tf,32,tf32,19,proxy_measured,pytorch_proxy_cpu gemm_256=2.556ms / gemm_1024=21.57ms — round float32 mantissa to 10 bits proxy; no native AArch64 tf32 arithmetic,proxy_timed,timing_backends=agx_frontier_proxy,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,CPU proxy coverage present via pytorch_proxy_cpu in typed_neural_frontier_int4_fp4_20260402.
tf,64,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Keep unmodeled unless a non-TF32 Apple tensor-float surface appears.
mx,4,mxfp4,4,proxy_measured,pytorch_proxy_cpu gemm_256=3.055ms / gemm_1024=23.66ms — block-scaled E2M1 proxy on float32; no native AArch64 mxfp4 arithmetic,proxy_timed,timing_backends=agx_frontier_proxy,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,CPU proxy coverage present via pytorch_proxy_cpu in typed_neural_frontier_int4_fp4_20260402.
mx,8,mxfp8|mxint8,8,proxy_measured,pytorch_proxy_cpu mxfp8 gemm_256=2.993ms / gemm_1024=23.77ms; mxint8=2.965ms/24.58ms — block-scaled proxies on float32; no native AArch64 mx arithmetic,proxy_timed,timing_backends=agx_frontier_proxy,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,CPU proxy coverage present via pytorch_proxy_cpu in typed_neural_frontier_int4_fp4_20260402.
mx,16,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,No active slot to build yet; keep visible as an explicit gap.
mx,32,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,No active slot to build yet; keep visible as an explicit gap.
mx,64,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,No active slot to build yet; keep visible as an explicit gap.
fp,80,,,not_available,x87 80-bit extended precision is x86-only; no AArch64 hardware equivalent,not_available,Metal/AGX has no fp80 type,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,No action — fp80 does not exist on AArch64. Document as x86-exclusive.
fp,128,float128,128,software_emulation,__float128 available via compiler intrinsic (libgcc softfp); not hardware; 10-100x slower than float64,not_available,Metal/AGX has no fp128 type,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Optionally probe __float128 add latency via Clang; expect ~10x slower than float64.
fp,160,long_double_alias,64,measured,long double == float64 on Apple AArch64 ABI (confirmed: 0.949 ns/op == fadd_dep_f64),not_available,Metal/AGX has no long_double type; resolves to float on GPU,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,No further action needed — confirmed alias to fp/64 on this platform.
fp,106,double_double,128,measured,timing_backends=aarch64_neon_dd|aarch64_dd_scalar; 1.348ns scalar / 0.520ns NEON vectorised,measured,Metal AGX DD genuine dep-chain measured via probe_dd_genuine_lat.metal (reassociate(off)); gpu_ns/dispatch=5.832ms (1.70× baseline 3.430ms); DD fadd=1.695ns/step fmul=1.347ns; Veltkamp DS-mul variant: 4.812ms (1.40×) — fmul-heavy path cheaper than DD fadd-heavy (2026-04-02),not_modeled,no per-format GPU counter rows; DD not an AGX hardware type — implemented in float32 pairs,not_modeled,no requested neural slot modeled in taxonomy,Metal DD fully characterized (2026-04-02) — float32 pairs are optimal base for AGX software FP64 emulation; FP16x2 pair is 1.17× MORE expensive due to half→float widening overhead.
fp,128_neon,float64x2|float32x4,128,measured,f64x2: 0.473ns/value (2.1× f64); f32x4_fma: 0.237ns/value (4.2× f64). NEON hw fastpaths.,proxy_timed,Metal simdgroup and threadgroup SIMD provide equivalent 128-bit register packing,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Measure Metal SIMD-group f64x2 and f32x4 reduction throughput on AGX.
